epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,33.9341,1.26528,1.16672,0.92174,0.89278,0.46234,0.65009,0.43812,1.21051,2.29057,0.91406,0.000414981,0.000414981,0.000414981
32,34.9468,1.26409,1.15458,0.91748,0.90283,0.54767,0.68624,0.45898,1.16466,2.09145,0.90252,0.000407615,0.000407615,0.000407615
33,35.8953,1.18978,1.18732,0.91754,0.90283,0.54767,0.68624,0.45898,1.16466,2.09145,0.90252,0.000398929,0.000398929,0.000398929
34,36.8835,1.24064,1.14441,0.91523,0.89703,0.57013,0.73709,0.49895,1.13934,1.94818,0.89548,0.000385073,0.000385073,0.000385073
35,37.9153,1.24063,1.10205,0.91579,0.90985,0.59811,0.79018,0.54074,1.14048,1.83823,0.89149,0.000363075,0.000363075,0.000363075
36,38.9369,1.2711,1.14969,0.91963,0.88043,0.61522,0.81208,0.55165,1.18625,1.76357,0.89091,0.000341077,0.000341077,0.000341077
37,39.9267,1.20357,1.05191,0.90137,0.88043,0.61522,0.81208,0.55165,1.18625,1.76357,0.89091,0.000319079,0.000319079,0.000319079
38,40.8818,1.20742,1.05212,0.89343,0.87416,0.65953,0.83181,0.56107,1.18269,1.66485,0.89104,0.000297081,0.000297081,0.000297081
39,41.8623,1.19351,1.06369,0.89804,0.87462,0.71326,0.84179,0.58486,1.13168,1.55084,0.88893,0.000275084,0.000275084,0.000275084
40,42.8951,1.11522,0.97278,0.90073,0.87626,0.75896,0.85376,0.60262,1.07806,1.41643,0.88614,0.000253086,0.000253086,0.000253086
41,64.5077,1.12025,1.10513,0.91586,0.87626,0.75896,0.85376,0.60262,1.07806,1.41643,0.88614,0.000231088,0.000231088,0.000231088
42,65.5087,1.16851,1.1909,0.90622,0.85731,0.8168,0.86127,0.6035,1.06702,1.26268,0.88467,0.00020909,0.00020909,0.00020909
43,66.5803,1.15061,1.10908,0.91326,0.85914,0.83236,0.86745,0.59926,1.06897,1.16444,0.88464,0.000187092,0.000187092,0.000187092
44,67.5262,1.16103,1.09732,0.90115,0.84654,0.83951,0.86712,0.59709,1.05588,1.09886,0.88308,0.000165095,0.000165095,0.000165095
45,68.469,1.09374,0.99892,0.90741,0.84654,0.83951,0.86712,0.59709,1.05588,1.09886,0.88308,0.000143097,0.000143097,0.000143097
46,69.4025,1.0482,1.00897,0.89664,0.83719,0.84891,0.86536,0.59594,1.04147,1.06035,0.88094,0.000121099,0.000121099,0.000121099
47,70.3533,1.0804,1.0399,0.90141,0.84151,0.85032,0.8662,0.5971,1.03212,1.02218,0.8797,9.91012e-05,9.91012e-05,9.91012e-05
48,71.2712,1.07961,1.02668,0.9216,0.82953,0.85771,0.86736,0.59822,1.03042,0.98593,0.87933,7.71034e-05,7.71034e-05,7.71034e-05
49,72.3652,1.05878,0.99665,0.89719,0.82953,0.85771,0.86736,0.59822,1.03042,0.98593,0.87933,5.51056e-05,5.51056e-05,5.51056e-05
50,73.2804,1.06106,1.03795,0.8987,0.83093,0.85909,0.86526,0.59741,1.02784,0.95573,0.87914,3.31078e-05,3.31078e-05,3.31078e-05
1,4.2623,1.62771,3.63279,1.6261,0.02291,0.06948,0.02382,0.00764,1.50005,3.44676,1.46432,4e-05,4e-05,4e-05
2,5.83513,1.66104,3.67846,1.54704,0.03529,0.13251,0.05828,0.02631,1.11827,3.37328,1.17832,8.8218e-05,8.8218e-05,8.8218e-05
3,7.29867,1.0743,3.4346,1.28488,0.04086,0.18759,0.14962,0.10904,0.67911,3.39153,0.95767,0.000134456,0.000134456,0.000134456
4,8.74973,0.92317,3.26752,1.1008,0.0436,0.19107,0.16241,0.12132,0.66692,3.31399,0.8991,0.000178714,0.000178714,0.000178714
5,10.1825,0.82944,3.10817,1.0789,0.04324,0.19206,0.15199,0.10837,0.66287,3.25725,0.9012,0.000220992,0.000220992,0.000220992
6,11.5338,0.78332,3.00648,1.0223,0.04399,0.19156,0.15801,0.11619,0.6978,3.21664,0.9009,0.00026129,0.00026129,0.00026129
7,12.9448,0.81427,2.85794,1.06002,0.04429,0.19057,0.17696,0.14381,0.67856,3.05191,0.90772,0.000299608,0.000299608,0.000299608
8,14.3734,0.76128,2.60036,1.01285,0.04154,0.19057,0.18293,0.15013,0.60824,2.98936,0.89185,0.000335946,0.000335946,0.000335946
9,15.8095,0.73246,2.32438,1.02234,0.04438,0.19007,0.18374,0.15472,0.69112,2.97038,0.93762,0.000370304,0.000370304,0.000370304
10,17.3141,0.81123,2.31322,1.03068,0.05449,0.18958,0.18501,0.15749,0.66958,2.80641,0.91411,0.000402682,0.000402682,0.000402682
11,18.7601,0.83586,2.20981,1.03398,0.06857,0.19107,0.18418,0.1568,0.60879,2.64021,0.88897,0.00043308,0.00043308,0.00043308
12,20.3812,0.83607,1.94549,1.07608,0.77604,0.17866,0.17911,0.15459,0.61152,2.4947,0.9019,0.000461498,0.000461498,0.000461498
13,21.773,0.72629,1.82216,1.00824,0.98607,0.16577,0.18116,0.15486,0.66318,2.4452,0.91852,0.000487936,0.000487936,0.000487936
14,23.1791,0.92509,1.91211,1.02471,0.99022,0.15445,0.18563,0.15334,0.70615,2.31643,0.94611,0.000512394,0.000512394,0.000512394
15,24.6084,0.80562,1.74316,1.07705,0.97716,0.16774,0.19368,0.14906,0.67363,2.05647,0.94687,0.000534872,0.000534872,0.000534872
16,26.0039,0.72516,1.5091,1.05932,0.9787,0.16675,0.19726,0.15352,0.69884,1.88781,0.93886,0.00055537,0.00055537,0.00055537
17,27.4793,0.6609,1.35403,0.99147,0.98565,0.16824,0.20748,0.16183,0.77421,1.56196,0.96376,0.000573888,0.000573888,0.000573888
18,28.807,0.70413,1.16324,1.01271,0.98763,0.17306,0.21121,0.16901,0.76407,1.36746,0.95428,0.000590426,0.000590426,0.000590426
19,30.1673,0.69758,1.25134,0.99223,0.98775,0.17667,0.25481,0.19426,0.7261,1.22406,0.94753,0.000604984,0.000604984,0.000604984
20,31.5129,0.6777,1.16841,1.01705,0.95924,0.19057,0.49223,0.3573,0.61826,0.87024,0.94411,0.000617562,0.000617562,0.000617562
21,32.8401,0.61858,0.95914,0.97886,0.94859,0.19404,0.51681,0.37919,0.61415,0.75381,0.9269,0.000604,0.000604,0.000604
22,34.1382,0.66046,1.0766,0.97832,0.94643,0.21148,0.53789,0.37978,0.55448,0.71106,0.89568,0.0005842,0.0005842,0.0005842
